Account,Closed PnL,classification,timestamp_dt,date,Side,Size USD
trader_12,-171.01276599803924,Fear,2025-01-22,2025-02-16,BUY,13420.568638458964
trader_1,119.47568567016415,Neutral,2025-01-24,2025-04-11,SELL,6557.0787283205855
trader_12,-9.496448987588408,Greed,2025-04-01,2024-12-04,SELL,12852.858086740607
trader_23,94.81025334902085,Greed,2025-04-14,2025-04-03,SELL,13467.163506665027
trader_10,367.82656707887213,Neutral,2025-04-18,2025-01-02,SELL,11511.31026820253
trader_12,53.90512292768238,Neutral,2025-03-26,2024-12-11,BUY,18742.72232426069
trader_19,213.13354513497737,Greed,2025-04-04,2025-02-26,SELL,15975.605635954065
trader_29,-96.72393576249786,Fear,2025-03-26,2025-03-21,SELL,16411.497805481027
trader_3,89.26517168000225,Neutral,2025-03-04,2025-03-12,SELL,8804.939769394552
trader_22,-77.87954170393158,Neutral,2024-12-25,2024-12-02,BUY,13836.038845264544
trader_19,-123.52292336107399,Fear,2025-03-12,2024-12-09,SELL,4075.349756884665
trader_23,78.36482415007427,Fear,2025-01-09,2025-02-10,BUY,6271.120645585104
trader_7,272.44335059091634,Fear,2025-03-30,2025-03-14,SELL,10297.18092395938
trader_21,195.03484384872962,Neutral,2025-03-03,2025-03-26,SELL,16416.870583688287
trader_1,458.0086583565981,Greed,2025-03-29,2025-02-02,BUY,7070.176561839495
trader_13,42.22344937433046,Greed,2024-12-11,2025-03-25,BUY,9076.397538562225
trader_9,100.90924098787607,Greed,2025-04-11,2025-02-03,SELL,19168.1571106815
trader_16,149.76193668665,Greed,2025-02-12,2024-12-21,SELL,6039.910665266267
trader_18,67.16237125958624,Greed,2025-01-23,2025-04-22,SELL,12552.272976341184
trader_15,183.10314090965562,Greed,2025-02-18,2024-12-16,BUY,2460.6018181061927
trader_20,-30.98669096628518,Neutral,2025-01-25,2025-01-04,BUY,8527.683078327993
trader_15,-53.79037622143933,Greed,2025-03-27,2024-12-23,BUY,6936.754262095984
trader_15,-26.984420832524734,Fear,2025-03-04,2025-04-19,BUY,754.906541373312
trader_10,-101.20562061017375,Greed,2025-03-09,2025-01-21,BUY,11911.607117074955
trader_26,-202.24142863242142,Neutral,2025-01-13,2024-12-19,BUY,6962.732293126772
trader_18,26.78392166876383,Greed,2024-12-05,2025-03-08,SELL,5407.6422907965725
trader_15,-285.19929573933905,Greed,2025-02-18,2025-04-15,SELL,17905.64042503085
trader_12,-10.211581046015212,Fear,2025-02-06,2025-03-25,SELL,4977.596675488354
trader_1,-260.2201437952222,Greed,2025-04-16,2025-02-25,BUY,8406.969288153483
trader_13,290.1838398935936,Fear,2024-12-04,2025-04-18,SELL,19013.864957193135
trader_17,-10.015664110114905,Fear,2025-02-23,2025-04-02,SELL,2065.986503021518
trader_17,-371.74448382145346,Neutral,2025-03-27,2025-01-12,BUY,18799.4765217497
trader_7,54.61815494686733,Fear,2025-03-05,2025-03-08,SELL,8109.188054650544
trader_11,89.84341705030363,Greed,2024-12-16,2025-02-07,BUY,15923.087701407121
trader_12,-40.194842139207466,Fear,2025-03-21,2025-05-02,BUY,7439.990277772018
trader_9,291.95609462653675,Fear,2025-02-08,2025-05-01,SELL,8603.232522205428
trader_15,138.39910880555658,Fear,2024-12-15,2025-03-16,SELL,9036.682672072558
trader_1,13.04457322422035,Fear,2025-03-17,2025-01-03,SELL,18962.764455393957
trader_26,129.03771751012368,Fear,2025-03-04,2025-02-20,SELL,11229.960931438596
trader_22,282.38701400781315,Neutral,2025-02-18,2025-04-19,BUY,4729.084334499641
trader_11,-132.19466443601502,Fear,2025-01-13,2025-03-13,BUY,12424.464839340926
trader_5,-73.07499493670097,Greed,2025-04-05,2025-02-17,BUY,17844.68777953234
trader_30,53.78025645375736,Greed,2025-04-09,2025-03-21,SELL,4680.42886435731
trader_19,-201.21241831847632,Neutral,2025-03-22,2024-12-12,SELL,7082.322119939544
trader_18,92.85043501372067,Greed,2025-01-09,2025-04-27,BUY,11643.527851202067
trader_18,297.05663869570503,Greed,2025-02-01,2025-02-17,BUY,19751.530369599994
trader_18,31.043800909669972,Fear,2025-02-01,2025-04-10,SELL,9574.500045875828
trader_23,-187.62066826930163,Greed,2024-12-17,2025-02-18,SELL,11894.805978267877
trader_20,170.30731796341033,Greed,2025-01-07,2025-01-30,SELL,3138.5157816928945
trader_7,296.552031995455,Greed,2025-04-07,2025-02-09,SELL,15284.024477970375
trader_14,-358.1960299434513,Greed,2024-12-25,2025-04-29,BUY,4787.4807342860695
trader_26,129.79946286191006,Greed,2025-02-15,2025-02-11,BUY,6894.470647003882
trader_1,147.09950061024713,Greed,2025-04-21,2024-12-17,BUY,14336.517635611594
trader_28,121.64376300783263,Neutral,2025-04-03,2025-03-07,SELL,14396.961268835561
trader_26,85.22420010929524,Fear,2024-12-25,2024-12-02,BUY,6716.598460038281
trader_20,67.92961015709177,Fear,2025-01-04,2024-12-07,BUY,17081.175918419405
trader_9,10.809416830335827,Neutral,2025-02-17,2024-12-14,SELL,15996.75246606315
trader_16,272.0543069573299,Fear,2025-04-24,2024-12-04,SELL,12507.690493669304
trader_23,63.521030506649566,Fear,2025-02-27,2024-12-10,SELL,3984.6003135498813
trader_26,411.47360145442605,Fear,2024-12-23,2025-01-14,SELL,18145.159396252147
trader_6,192.009822736987,Fear,2025-04-01,2025-01-13,SELL,10784.718997723312
trader_7,66.62462837402401,Greed,2024-12-17,2025-04-25,BUY,7839.879845311235
trader_18,-87.66824937043916,Greed,2024-12-29,2024-12-11,SELL,18581.969077076745
trader_1,134.43732841650268,Fear,2024-12-02,2025-04-08,BUY,19446.967687960245
trader_26,-75.23868361706248,Fear,2024-12-11,2025-01-22,BUY,14485.259156481721
trader_25,-48.60088093418629,Fear,2024-12-16,2025-03-06,SELL,15931.827631269107
trader_16,-4.455451247948815,Neutral,2025-02-19,2025-01-02,SELL,5311.912862951265
trader_18,-141.99457825981264,Neutral,2024-12-21,2025-04-14,SELL,5546.512203218774
trader_18,313.996126936845,Greed,2024-12-21,2025-02-21,BUY,11599.393832750657
trader_19,-130.47874008169475,Greed,2024-12-06,2024-12-25,BUY,19672.46111804886
trader_28,90.81978456191698,Fear,2025-01-15,2025-02-12,SELL,14992.875594374173
trader_13,-69.45360861242256,Fear,2024-12-23,2025-04-11,BUY,15046.814354456568
trader_19,-164.5334610495031,Greed,2025-01-27,2025-05-01,SELL,5523.150824926973
trader_3,15.974230255884706,Neutral,2025-01-08,2025-03-31,SELL,8685.748914108142
trader_20,28.758519598354262,Fear,2024-12-31,2025-04-19,BUY,7179.327348705367
trader_27,277.8523487873632,Fear,2024-12-02,2025-02-22,SELL,6394.025258370784
trader_17,112.47496460557643,Greed,2025-02-24,2025-01-31,BUY,14756.477601861507
trader_11,82.24411412304481,Fear,2025-01-13,2025-01-31,SELL,2447.1551988508027
trader_29,164.26309798410557,Fear,2025-04-06,2025-02-14,SELL,3726.122940396206
trader_17,7.903401951411972,Neutral,2025-02-01,2025-04-24,BUY,8539.767300237223
trader_30,-41.614171660287994,Greed,2025-04-01,2024-12-10,SELL,6403.1943569093255
trader_12,-48.79803138596405,Fear,2025-02-13,2025-01-02,SELL,18115.73680897689
trader_12,-57.9195370587165,Greed,2025-01-22,2025-01-06,SELL,4408.645973279097
trader_20,94.45790972383475,Fear,2025-02-14,2025-03-30,BUY,5352.440606689518
trader_16,-168.89808737507283,Fear,2025-04-10,2025-03-19,SELL,3972.654145717665
trader_1,15.409902616122658,Fear,2025-03-04,2025-04-09,BUY,17237.828603645077
trader_28,248.75988708257682,Greed,2024-12-19,2025-04-03,SELL,4440.1497136739235
trader_20,95.9008018258923,Greed,2025-01-14,2025-01-07,SELL,7365.523612977093
trader_13,35.11656180124807,Greed,2025-01-24,2024-12-21,BUY,13551.57107706705
trader_2,-28.559219683551206,Fear,2024-12-29,2025-04-30,BUY,2013.8205851913413
trader_16,-79.16632795685362,Greed,2025-01-17,2025-01-12,BUY,16424.658005732883
trader_7,238.88080691876596,Neutral,2025-02-10,2025-03-28,SELL,14271.887677515922
trader_22,65.25277437103584,Fear,2025-02-01,2025-03-04,SELL,5590.2339340574545
trader_2,-26.49628111936312,Neutral,2025-04-28,2025-02-06,SELL,8139.993987878152
trader_18,4.470355882084249,Fear,2025-01-26,2025-02-02,SELL,12591.371437673859
trader_28,-82.94691441720715,Fear,2024-12-13,2025-04-04,BUY,18955.9203946111
trader_17,66.84162129885848,Greed,2025-02-26,2025-01-06,BUY,12770.57904359806
trader_16,66.04826792091623,Fear,2025-03-15,2025-02-17,SELL,5434.275099980668
trader_20,141.77413383298736,Fear,2024-12-09,2025-03-14,BUY,9908.686758399677
trader_18,-177.90396923808618,Greed,2025-02-12,2025-04-30,BUY,9267.48766876506
trader_21,70.04919218365518,Neutral,2025-02-13,2025-02-11,SELL,10885.844245716387
trader_28,134.3690661584285,Neutral,2025-03-07,2025-01-03,BUY,10621.452757117295
trader_28,25.841927562973666,Fear,2025-04-14,2025-03-17,BUY,7599.020986157644
trader_20,252.14240919665835,Fear,2025-04-18,2024-12-04,BUY,17500.617656924096
trader_16,147.4403772700121,Greed,2025-03-19,2025-02-19,SELL,6937.168504839067
trader_1,213.00037600633414,Neutral,2024-12-28,2025-03-10,BUY,10834.070667984595
trader_21,-110.68104795672505,Fear,2025-03-12,2025-03-04,SELL,5586.830817347327
trader_5,-223.21063288439024,Fear,2025-03-04,2025-02-01,SELL,8978.632422969678
trader_15,92.63035938991669,Fear,2025-03-29,2025-02-16,SELL,13787.123399788587
trader_13,-254.34543317047553,Neutral,2025-02-10,2025-04-21,BUY,15278.194129416795
trader_5,-39.39355029154703,Greed,2024-12-27,2024-12-28,BUY,16221.333301133136
trader_18,45.706130554786874,Neutral,2025-04-29,2024-12-21,BUY,14868.079245639723
trader_20,162.24661046874493,Greed,2025-04-21,2025-03-18,BUY,9601.729282543076
trader_30,63.80845360590927,Greed,2025-02-09,2025-02-25,BUY,1230.6335781775547
trader_5,268.0117770525919,Greed,2024-12-30,2025-04-17,BUY,10727.595316415398
trader_16,-54.38387315117784,Greed,2025-02-04,2024-12-26,BUY,1575.4380763479687
trader_11,-86.5117307011671,Greed,2025-03-09,2025-01-03,BUY,19345.77228773431
trader_11,389.7228485611051,Neutral,2025-02-27,2024-12-02,BUY,7870.151581285204
trader_22,27.147477772840965,Neutral,2025-04-08,2025-01-12,BUY,10321.59085490133
trader_23,69.54725304703427,Fear,2025-05-01,2025-01-21,BUY,3026.1661748042125
trader_26,-34.521775565459265,Neutral,2025-01-24,2025-03-20,SELL,19916.59619479958
trader_27,-82.38535254826414,Neutral,2025-03-12,2025-04-12,BUY,10097.935653359797
trader_3,26.449908873120435,Fear,2025-02-03,2025-04-26,BUY,6316.654376795845
trader_19,207.47921884346616,Fear,2024-12-25,2025-04-02,SELL,4264.449014656146
trader_10,16.741361661587206,Neutral,2025-03-08,2025-01-18,SELL,13173.649576034608
trader_28,-323.7284142247765,Greed,2025-01-11,2025-04-04,BUY,9007.835209051065
trader_2,-115.3515625686278,Fear,2025-01-13,2025-03-26,BUY,6687.934911539647
trader_25,332.9270135491159,Greed,2025-02-07,2025-02-14,SELL,688.0306142877172
trader_17,-330.00034616634446,Greed,2025-03-15,2025-01-22,BUY,1209.7419707616536
trader_3,-59.34311435597617,Fear,2025-04-19,2025-03-08,SELL,14025.45604392724
trader_3,115.96222832041953,Fear,2024-12-08,2024-12-28,SELL,9870.539092860929
trader_8,119.62104911932903,Fear,2025-03-16,2025-04-24,SELL,17053.363081965414
trader_16,123.01463758984183,Greed,2025-02-01,2025-02-20,SELL,15193.805153559784
trader_12,184.06801924628053,Greed,2025-04-27,2024-12-24,BUY,11682.08890181716
trader_22,17.08474745434951,Neutral,2025-02-11,2025-02-26,SELL,11439.322110066283
trader_19,-103.18518378089092,Fear,2025-04-03,2025-02-14,SELL,15034.226448314843
trader_1,17.116297219265675,Greed,2024-12-05,2025-01-05,BUY,14952.665221053725
trader_19,229.09734890254936,Fear,2025-04-08,2025-02-05,SELL,7023.090737497744
trader_4,-198.7842159692276,Greed,2024-12-11,2025-01-02,SELL,2553.729356100286
trader_17,-18.772187636229148,Neutral,2025-04-11,2025-02-22,SELL,15550.650415973652
trader_19,52.849846045646316,Greed,2024-12-17,2024-12-12,SELL,4850.565796756759
trader_4,-48.35918009259359,Neutral,2025-02-06,2025-02-22,SELL,15929.669106089937
trader_15,-28.653850395308638,Fear,2024-12-05,2025-02-19,BUY,12552.788606477845
trader_7,110.99557860920757,Fear,2025-04-29,2025-01-12,BUY,7480.22187537732
trader_20,69.96219162912129,Greed,2025-02-20,2025-03-17,SELL,17119.34162369914
trader_17,192.18698687125536,Neutral,2025-02-05,2024-12-13,BUY,13977.786692938496
trader_25,133.08977569793004,Fear,2024-12-11,2025-02-21,BUY,11129.611246654602
trader_22,205.34520910138758,Greed,2025-05-02,2025-02-28,SELL,6367.549040522259
trader_9,-47.04515773966645,Greed,2025-01-11,2025-03-26,SELL,19732.471800436593
trader_7,440.86175486144333,Fear,2025-01-04,2025-04-12,SELL,16851.540012722013
trader_4,-201.7768183128715,Greed,2025-02-17,2025-03-16,SELL,3163.2268824050266
trader_17,170.5588743545391,Fear,2025-01-28,2025-02-27,SELL,16221.460911018608
trader_15,-102.30106864453569,Greed,2025-03-27,2025-04-12,SELL,2843.6777174618232
trader_23,-195.9171024793224,Fear,2025-01-17,2024-12-23,BUY,5331.080741577948
trader_9,300.55700670741095,Neutral,2024-12-03,2025-01-04,BUY,19172.220390093004
trader_28,-5.735829080182114,Neutral,2024-12-24,2025-03-06,BUY,17463.142122131067
trader_16,-141.2994183493454,Greed,2025-03-29,2025-01-23,SELL,12317.066936731262
trader_6,-10.546888096243237,Fear,2025-03-11,2025-04-04,SELL,14132.99927256082
trader_28,-52.20776727129517,Neutral,2025-01-02,2025-02-08,SELL,2247.384660791916
trader_17,25.814591912563838,Greed,2025-02-08,2025-03-30,SELL,6981.290208664583
trader_25,0.7774986805385353,Greed,2025-01-22,2025-01-06,SELL,6787.280037393687
trader_7,-153.89066987555182,Neutral,2025-01-26,2025-03-29,BUY,1137.04304688835
trader_17,59.52355584881032,Fear,2025-01-09,2024-12-22,BUY,14229.987180176686
trader_14,48.04939328622457,Fear,2024-12-03,2025-04-15,SELL,6497.30766658256
trader_15,293.4972562494539,Greed,2025-01-18,2025-02-09,BUY,12845.306950649745
trader_20,266.85815202403757,Greed,2024-12-14,2025-01-10,BUY,1030.8691328071827
trader_21,50.888612525820804,Fear,2025-04-04,2024-12-28,BUY,532.0479643258406
trader_18,119.0889032484881,Greed,2025-04-27,2024-12-31,BUY,3815.1338549171764
trader_19,-107.24813271195762,Fear,2024-12-25,2024-12-21,BUY,14206.288945254337
trader_18,148.8756602855443,Greed,2024-12-04,2025-02-12,BUY,12281.343352087411
trader_14,459.92193189532856,Fear,2025-02-01,2025-01-20,SELL,4417.672816881992
trader_20,-121.71171770286648,Neutral,2025-01-24,2025-01-05,BUY,10705.79140213003
trader_23,-41.64317825469098,Greed,2024-12-02,2024-12-19,SELL,12574.800561980288
trader_5,86.84413903669957,Greed,2024-12-23,2024-12-06,BUY,18809.425017580856
trader_30,77.7230069775801,Greed,2025-03-18,2024-12-15,SELL,15367.302142287177
trader_7,67.15788104485272,Fear,2025-03-29,2025-03-20,SELL,3148.7509528774103
trader_12,-52.92463662160813,Greed,2024-12-15,2025-03-19,SELL,5769.485976997733
trader_17,-160.28002287582615,Greed,2025-01-20,2025-04-03,BUY,8367.981691219771
trader_30,-78.4853053928993,Greed,2025-05-01,2025-01-18,BUY,2553.166699025353
trader_19,174.53145453884218,Greed,2024-12-20,2024-12-18,SELL,11329.455145706388
trader_16,355.0465462576474,Fear,2025-01-25,2025-02-22,SELL,18188.310583102924
trader_2,130.56775996499968,Neutral,2025-01-07,2025-04-29,BUY,6474.365196172248
trader_12,-0.5838632424824439,Greed,2024-12-25,2025-03-22,SELL,19700.59491165887
trader_29,174.06786401938606,Fear,2025-02-24,2025-04-17,BUY,5361.6907260744665
trader_17,-153.5236115451973,Greed,2025-02-06,2024-12-20,SELL,9709.194627535246
trader_21,45.25600588955796,Greed,2025-02-18,2025-03-23,BUY,7189.183413522978
trader_3,-39.406738426371646,Fear,2025-02-02,2025-01-30,BUY,6508.238221740137
trader_8,7.53526262715512,Greed,2025-02-09,2025-03-11,BUY,7868.480627006631
trader_5,-34.71129144522932,Fear,2025-02-26,2025-01-28,SELL,1132.0347205865437
trader_21,-116.5499588726826,Greed,2025-01-26,2025-04-29,BUY,10874.201630564783
trader_23,305.0461352027886,Neutral,2025-03-29,2025-02-06,SELL,14957.487242655434
trader_24,-43.3604579406681,Fear,2024-12-29,2024-12-04,SELL,17343.953519958726
trader_17,-44.005390905696686,Greed,2025-04-21,2025-02-21,BUY,6824.92639814114
trader_21,41.33824599268303,Neutral,2025-02-02,2025-01-27,SELL,11232.882639292171
trader_25,81.05423022218085,Neutral,2025-01-16,2025-01-27,SELL,17909.522537623132
trader_27,292.15681604348595,Greed,2024-12-20,2025-01-23,SELL,16097.508549902746
trader_28,75.56548177606004,Fear,2024-12-07,2024-12-28,SELL,9549.46261744416
trader_25,133.06480033540032,Greed,2025-03-04,2025-03-15,SELL,3714.501990274123
trader_14,-226.9372830555963,Greed,2025-04-07,2025-01-26,SELL,11386.899980785522
trader_23,95.71158040378029,Fear,2025-03-24,2025-02-02,BUY,19799.075796711393
trader_14,-63.92565050471404,Greed,2025-01-22,2025-03-02,SELL,15271.261970019701
trader_4,-61.21362225285405,Neutral,2025-02-04,2024-12-30,SELL,17036.440691646898
trader_15,-128.25588605902698,Fear,2025-04-22,2025-02-24,BUY,4180.851957973741
trader_2,-0.378767284674872,Fear,2025-04-06,2024-12-23,BUY,18125.879057106024
trader_21,107.45049712438048,Greed,2025-02-08,2024-12-18,SELL,775.3909937336817
trader_4,114.79421007396762,Fear,2025-03-02,2025-02-19,SELL,17313.12676257274
trader_29,79.78292252118618,Greed,2025-03-30,2025-04-04,BUY,5162.854677423355
trader_17,-43.45697573359945,Fear,2025-05-02,2025-03-05,BUY,12642.90880523771
trader_29,-58.74189366286906,Greed,2024-12-23,2025-04-15,BUY,6214.515147009284
trader_23,-12.6350010355914,Fear,2025-04-19,2025-03-17,SELL,3138.271060902556
trader_3,66.09854387736752,Greed,2025-03-22,2025-04-13,BUY,5318.410400644249
trader_22,-185.40383676491788,Greed,2025-04-17,2025-03-28,SELL,9722.10159075563
trader_28,11.405428915195174,Greed,2025-04-24,2025-01-09,BUY,18433.397202752887
trader_21,-5.821385510222008,Greed,2025-03-29,2025-01-16,SELL,8085.576820041523
trader_16,103.03860754657353,Fear,2025-04-09,2025-03-25,BUY,1589.4560875472732
trader_12,474.54302861815086,Greed,2025-02-19,2025-02-08,BUY,963.4744622541506
trader_20,48.267528670398825,Fear,2025-02-09,2025-04-14,SELL,4592.47675217665
trader_3,51.772982916971124,Greed,2025-04-20,2024-12-27,BUY,1514.5629295885756
trader_25,148.98433143861686,Greed,2025-02-12,2025-01-23,SELL,7737.022782318192
trader_5,19.649869574626994,Fear,2024-12-22,2025-04-21,BUY,7992.932958920152
trader_16,114.53889335398135,Fear,2025-04-05,2025-04-29,SELL,19456.745372828595
trader_26,246.0868460955796,Greed,2025-03-16,2025-01-25,SELL,6471.57423100698
trader_7,6.138718524381339,Greed,2025-04-03,2025-03-18,SELL,12179.215607606073
trader_20,278.5652007547749,Greed,2025-02-16,2025-01-29,SELL,16467.062212154764
trader_16,79.01112958625751,Greed,2025-04-26,2025-01-20,SELL,10503.945903116497
trader_17,169.55573573295942,Greed,2025-03-28,2025-04-23,BUY,14083.14261514255
trader_2,204.23400540274827,Greed,2024-12-01,2025-04-07,SELL,19500.582431747418
trader_12,248.52927935966582,Greed,2025-02-26,2025-04-13,SELL,6820.970320285025
trader_26,220.47512135858668,Greed,2025-04-21,2024-12-01,BUY,1947.1062397879857
trader_13,258.78647266600865,Fear,2025-02-25,2024-12-12,BUY,8891.135689308287
trader_5,75.68190942917457,Neutral,2025-02-07,2024-12-24,SELL,11042.354731720183
trader_16,-55.40810526237793,Greed,2025-02-22,2025-04-05,BUY,11809.73516438357
trader_30,65.21032349398517,Greed,2025-04-29,2025-02-13,SELL,14901.970787477261
trader_28,-111.34065223242035,Fear,2025-03-20,2025-03-15,BUY,18012.65790221563
trader_8,0.5259482810127736,Greed,2025-04-07,2025-01-26,BUY,10253.222605193288
trader_24,-38.78371886518923,Greed,2025-03-14,2025-04-28,SELL,3296.4112405385963
trader_28,-174.06750370035724,Fear,2025-04-01,2025-01-09,SELL,8366.464401315501
trader_14,188.08211953062812,Fear,2025-03-09,2025-01-02,BUY,3529.703272365182
trader_8,250.1921486480837,Greed,2025-01-05,2025-03-18,SELL,4054.9115294118674
trader_29,-59.35387532231434,Neutral,2025-02-26,2025-02-03,BUY,533.1445791191475
trader_25,145.96470922214428,Greed,2025-01-06,2025-02-14,SELL,18629.38727083242
trader_18,448.7710781170633,Fear,2025-01-20,2025-01-15,BUY,15032.568254248146
trader_20,228.74171628028625,Fear,2025-01-06,2025-03-18,SELL,2455.382901156068
trader_12,-103.94254459467294,Greed,2025-05-02,2025-03-24,SELL,18442.07551140723
trader_11,184.48511417991247,Neutral,2025-02-24,2025-01-21,BUY,17471.987576724532
trader_16,24.360569581172513,Greed,2024-12-05,2025-04-28,SELL,18242.85534667305
trader_26,180.80869220223133,Fear,2025-04-15,2025-04-03,BUY,2397.6218789594295
trader_22,396.88313753657445,Greed,2025-01-22,2024-12-30,SELL,2057.9154073948853
trader_15,39.830872915228134,Fear,2025-03-15,2025-04-22,BUY,1820.8376425088195
trader_13,261.73508466432384,Greed,2025-03-21,2025-04-16,SELL,19354.98401272131
trader_22,-62.92916666566501,Greed,2024-12-27,2025-01-01,SELL,13379.164980951657
trader_28,-22.266073985818366,Greed,2025-01-30,2025-02-10,BUY,3970.65060189473
trader_28,-246.39810419126957,Fear,2025-02-03,2025-04-30,BUY,18618.609964519248
trader_21,293.83879313644513,Neutral,2025-02-22,2024-12-27,SELL,9141.718274708837
trader_18,-199.05968627437446,Neutral,2025-01-14,2025-01-11,BUY,15816.216043194147
trader_24,-119.72590027752273,Greed,2025-04-10,2024-12-08,SELL,12905.670571678073
trader_1,84.03492043709124,Neutral,2025-01-19,2024-12-11,BUY,13168.268502773211
trader_29,357.46861363162054,Fear,2025-01-17,2025-04-28,SELL,9074.71818082734
trader_1,-235.423049794645,Greed,2025-04-21,2025-01-13,BUY,8201.529589375918
trader_28,105.39418971412016,Greed,2024-12-19,2025-01-02,SELL,3657.4502313930775
trader_1,-163.57984659164575,Greed,2025-04-13,2025-02-05,BUY,1880.2237077539278
trader_9,301.5813737366928,Greed,2025-04-14,2025-01-24,SELL,18595.83427454043
trader_21,75.56829150026381,Greed,2025-03-11,2024-12-13,BUY,18764.162111630514
trader_14,283.3224593119006,Greed,2025-02-28,2025-01-05,BUY,13005.310292393811
trader_28,-64.43607682859088,Neutral,2024-12-13,2025-02-25,BUY,8067.1950699143545
trader_18,-18.396988127049283,Greed,2025-03-11,2024-12-26,SELL,989.2551632269456
trader_27,-90.09968676268502,Fear,2025-01-15,2025-01-07,BUY,9229.294767669899
trader_1,267.3173762208568,Greed,2025-01-02,2025-03-10,BUY,13350.019101347312
trader_20,263.35008240380716,Neutral,2025-03-26,2025-04-30,BUY,6355.593593818153
trader_11,-48.33263733295671,Fear,2025-03-07,2025-04-15,SELL,7177.52660262233
trader_2,196.34615443802448,Greed,2025-01-10,2024-12-14,SELL,9710.306486746034
trader_19,34.61958818454363,Greed,2025-02-11,2024-12-24,BUY,10150.896220899089
trader_2,-241.47864641683304,Fear,2024-12-29,2025-03-29,SELL,14985.86374410331
trader_24,125.48027717615437,Neutral,2025-03-27,2025-03-11,BUY,10245.344142116614
trader_30,178.38333128527992,Neutral,2024-12-07,2025-05-02,BUY,16982.856905246757
trader_19,215.36180721306354,Greed,2025-03-05,2025-03-28,SELL,9914.14240071645
trader_2,60.84875347482715,Greed,2024-12-11,2025-05-02,BUY,1122.2824741007335
trader_6,-1.2119810799091084,Fear,2025-01-11,2024-12-17,BUY,3257.4192531664544
trader_23,-24.473829107071154,Fear,2024-12-05,2025-04-11,BUY,14504.154944410744
trader_15,185.67099524776586,Greed,2024-12-02,2025-02-23,SELL,9311.303649243673
trader_25,113.10349567339998,Greed,2025-01-12,2025-03-19,SELL,9493.739949647681
trader_11,-45.50142439974482,Greed,2024-12-04,2025-03-21,BUY,19571.13266445082
trader_26,92.48263123571263,Neutral,2025-02-19,2025-03-15,BUY,11643.501074851067
trader_16,158.4178103942105,Neutral,2025-03-29,2025-02-19,SELL,2779.9467190494197
trader_20,161.6859825638439,Greed,2025-03-05,2025-03-09,SELL,8958.210397034194
trader_21,49.84248286615218,Neutral,2025-01-28,2025-01-10,SELL,11445.843206806238
trader_30,236.56118993804304,Fear,2024-12-30,2025-01-29,SELL,1230.5798142205078
trader_27,-68.20134086321247,Greed,2025-04-09,2025-02-25,BUY,7609.8921699571365
trader_22,57.27579583209869,Neutral,2025-02-26,2025-01-12,SELL,19372.453572385384
trader_3,189.92569114025545,Greed,2025-02-12,2025-01-21,BUY,15150.41281633771
trader_3,96.6656928716116,Greed,2025-04-07,2024-12-21,BUY,7756.975069050355
trader_19,62.54359808010708,Greed,2025-03-06,2025-05-01,BUY,5611.179492827154
